projects,
NANCI_trial2,Trial dataset 
NANCIEffects_v2,"NANCI KO, Nkc2.1 Het."
Adult_P3_Dave,This is a sample project description for Adult_P3 data. Please add more details
WntResponsiveMSC,Cell sorting of lung mesenchyme
Cardiac_Hdac7_Sin3b,Hdac7 and SIn3b over expression on Affymetrix Mogene 2.0 ST array
mir302GOF_20150128,This is a sample project description for mir302 data. Please add more details
Mouselung,This is a sample project description for Mouselung data. Please add more details
Cardiac_Hdac7_Sin3b-old,Hdac7 and SIn3b over expression on Affymetrix Mogene 2.0 ST array
FalcorFoxa2,This is a sample project description for FalcorFoxA2 data. Please add more details
FalcorKOEffects,This is a sample project description for Falcor dats. Please add more details
